Title,Image,Description,Category,Ingredients,Instructions,Time to cook,Servings,Energy,Protein,Carbohydrates,Fat
Svampfylld aubergine,https://images.arla.com/recordid/BF7C4F8D-302B-4619-9A460A0A3BBF29B5/svampfylld-aubergine.jpg?width=375&height=265&mode=crop&format=jpg,En dröm för svampälskaren.,"Huvudrätt, Lunch, Middag",Auberginer: 2 | Champinjoner: 300 g | Gul lök: 1 | Bladpersilja: 1 kruka | Arla Köket® Smör- & rapsolja:  | Arla Köket® Riven ost gratäng: 2 dl | Salt: ¾ tsk | Svartpeppar: 2 krm | Arla Köket® Turkisk yoghurt: 2 dl | Bulgur eller ris: ,"Sätt ugnen på 225° eller 200° varmluft., Dela auberginerna på längden. Gröp ur dem och grovhacka köttet., Lägg skalhalvorna på ett ugnssäkert fat och ställ in dem i mitten av ugnen 8-10 min., Skiva champinjonerna. Skala och hacka löken. Grovhacka persiljan., Fräs svamp och lök i smör-&rapsolja i en panna tills all vätska kokat bort., Tillsätt aubergineköttet och fräs alltsamman tills det fått färg. Ta pannan från värmen., Rör ner persilja, 1 ½ dl ost, salt och peppar., Fyll röran i skalhalvorna. Strö över resten av osten. Gratinera i mitten av ugnen tills osten fått färg 10-12 min., Servera med mezeyoghurt och kokt bulgur eller ris.",50 min,4,,,,
"Tomatsoppa med basilika, pinjenötter och toast",https://images.arla.com/recordid/1ADFFDA1-0B78-4F79-95DE07957945B8E2/tomatsoppa-med-basilika-pinjenotter-och-toast.jpg?width=375&height=265&mode=crop&format=jpg,Mustig tomatsoppa med färsk basilika och rostade pinjenötter som serveras med ost- och lökgratinerad smörgås.,"Huvudrätt, Kvällsmat, Lunch, Middag",Kelda® Ekologisk tomatsoppa: 1 liter | Bregott® Normalsaltat smör & raps: 30 g | Bröd: 4 skivor | Kvibille® Riven ost cheddar: 3 dl | Rostade pinjenötter: 1 dl | Strimlad färsk basilika: 1 dl,"Sätt ugnen på 175° eller 160° varmluft., Bred bregott på brödskivorna och fördela osten ovanpå., Lägg på en plåt med bakplåtspapper och gratinera i mitten av ugnen ca 10 minuter tills osten har smält., Värm soppan i en kastrull under omrörning., Häll upp soppan i skålar och toppa med pinjenötter och basilika. Servera med smörgåsarna.",25 min,4,535 kcal,16 g,29 g,38 g
Ljummen morotscarpaccio,https://images.arla.com/recordid/FF48D73C-6E37-40F6-BA5E11CFB4DC7A40/ljummen-morotscarpaccio.jpg?width=375&height=265&mode=crop&format=jpg,"Carpaccio med skivad morot istället för kött är en färgglad, italiensk klassiker. En perfekt förrätt, antipasto, inför en maffig måltid.",Förrätt,Morot: 400 g | Skållad och skalad mandel: ½ dl | Arla Köket® Smör-&rapsolja oliv: 2 msk | Flingsalt: 1 tsk | Grovriven Arla Ko Präst® Ost 31%: 1 dl | Rucola: 2 dl,"Skala och koka morötterna knappt mjuka i lättsaltat vatten ca 10 min., Hacka mandeln grovt och rosta den i en torr, het panna tills den får färg., Skär morötterna i tunna skivor. Lägg dem på 4 tallrikar., Ringla över smör-&rapsolja. Strö över salt, ost och rucola. Servera genast.",15 min,4,180 kcal,5 g,10 g,13 g
Energibräck,https://images.arla.com/recordid/AA843AB6-2205-4CEB-825900B1307CCE23/energibrack.jpg?width=375&height=265&mode=crop&format=jpg,Gojibär och pinjenötter i knäckigt sällskap blir oemotståndligt gott!,,Arla Ko® Vispgrädde: 1 dl | Ljus sirap: 1 dl | Strösocker: 1 dl | Gojibär: ½ dl | Russin: ½ dl | Pinjenötter: 2 msk | Pumpakärnor: 3 msk | Solroskärnor: 2 msk,"Blanda grädde, sirap och socker i en tjockbottnad vid kastrull., Koka utan lock tills smeten håller kulprovet eller tills temperaturen är 130°., Rör om då och då. Koktid 15-30 min., Tillsätt övriga ingredienser och häll genast ut smeten på ett smort bakplåtspapper. Låt stelna. Skär eller bryt i bitar., Kulprovet: Häll några droppar i iskallt vatten och rulla till en kula. Kulan ska bli fast till hård.",45 min,4,,,,
Arlas kanelbulle,https://images.arla.com/recordid/A7380758-517E-4157-9BECF59EDB732E7C/arlas-kanelbulle.jpg?width=375&height=265&mode=crop&format=jpg,Arlabullen - vår egen kanelbulle - som vi har tagit fram för att bjuda alla besökare på tillsammans med kall mjölk på våra kosläpp.,"Efterrätt, Fika","Jäst: 50 g | Arla® Lantmjölk, ekologisk: 5 dl | Svenskt Smör från Arla®, rumsvarmt: 200 g | Strösocker, 80 g: 1 dl | Salt: 1 tsk | Stötta kardemummakärnor: 1½ tsk | Vetemjöl, 900 g: 15 dl | Svenskt Smör från Arla®: 200 g | Strösocker: 1 dl | Malen kanel: 3 msk | Uppvispat ägg: 1 | Rårörsocker: ¾ dl","Smula jästen i en bunke. Värm mjölken till max 37°. Häll den över jästen och rör om., Tillsätt smör, socker salt, kardemumma och nästan allt mjöl. Arbeta degen smidig. Låt jäsa övertäckt ca 20 min., Sätt ugnen på 250° eller 225° varmluft.. Rör ihop fyllningen., Ta upp degen på lätt mjölad bänk. Dela den i två delar och kavla ut till rektanglar, ca 30x45 cm. Bred ut fyllningen på rektanglarna., Vik långsidorna omlott så att det blir tre lager. Platta ut dem något. Skär ca 1 ½ cm tjocka remsor., Tänj ut, vrid dem och forma till lösa knutar. Lägg dem på plåtar med bakplåtspapper. Låt jäsa 15-20 min., Grädda i mitten av ugnen 8-10 min. Låt svalna på galler.",1 tim 30 min,4,,,,
Fisksoppa med lax,https://images.arla.com/recordid/6F1F8A17-B954-4F12-A9720284C5E11432/fisksoppa-med-lax.jpg?width=375&height=265&mode=crop&format=jpg,"Färdig fisksoppa som kryddas med fänkål, franska örter och rökt lax blir till en snabb och enkel måltid. Lyxa gärna till det med lite räkor eller andra skaldjur också.","Huvudrätt, Kvällsmat, Lunch, Middag",Rökt lax: 200 g | Kelda® Skärgårdssoppa: 1 liter | Fänkål: 400 g | Tomater: 2 | Arla Köket® Lätt crème fraiche franska örter: 2 dl | Surdegsbaguette: 1,"Koka upp soppan i en kastrull., Finstrimla fänkålen och låt den koka i soppan 2-3 min. Skär tomat och lax i bitar och lägg ner i soppan., Servera med crème fraiche och bröd.",15 min,4,575 kcal,24 g,53 g,27 g
Mangosås,"https://images.arla.com/recordid/C708774A-93AA-4AE3-B556A5900D7C0310/mangosas.jpg?width=375&height=265&mode=crop&crop=(187,0,-91,0)&format=jpg","Mangosås är enkelt att göra med matyoghurt, mango, koriander och het sambal. Passar lika bra till kyckling som till fisk och balanserar salt och het mat.",,Mogen mango: 1 | Arla Köket® Turkisk yoghurt: 2 dl | Flytande honung: 2 tsk | Sambal oelek: ½ tsk | Salt: ½ tsk | Hackad färsk koriander: 2 msk,"Skala mangon och skär loss köttet från kärnan., Hacka fruktköttet och rör i yoghurt, honung, sambal oelek och salt. Strö över koriander.",15 min,4,350 kcal,7 g,32 g,20 g
50/50 köttbullar i tomatsås med pasta,https://images.arla.com/recordid/DC91D057-ED81-4A27-88A28810BDB4FA5D/5050-kottbullar-i-tomatsas-med-pasta.jpg?width=375&height=265&mode=crop&format=jpg,"Här är Årets Rätt 2023, signerad Jessie Sommarström, Årets Kock 2022! ""Att blanda ut kött med baljväxter och andra växtbaserade ingredienser är inget nytt. Förr blandade man ofta korngryn i korvsmeten liksom grovt rågmjöl i blodpuddingen. Utöver att det blir mer hållbart för miljön, så förbättrar det näringsvärdet för oss som äter den. Det är dags att dryga ut våra mest älskade husmansrätter igen, traditionella och moderna, för att bidra till minskad klimatpåverkan och bidra till en bättre hälsa. Jag har blandat ut köttfärsen med en färs på svenskodlade baljväxter – något som kan appliceras på alla rätter där vi brukar använda köttfärs såsom bullar, biffar, bolognese, kålpudding och lasagne.
 
Jag hoppas att det här ska bli en modern klassiker!""","Huvudrätt, Middag","Gul lök: ½ | Vitlöksklyftor: 2 | Svenskt Smör från Arla®, till stekning: 1 msk | Olivolja, till stekning: 1 msk | Vitt vin: ½ dl | Konserverade hela tomater: 400 g | Färsk basilika: ½ kruka | Strösocker: 1 tsk | Rapsolja: ½ dl | Salt och svartpeppar:  | Gul lök: ½ | Svenskt Smör från Arla®, till stekning: 1 msk | Ströbröd: ½ dl | Arla Ko® Eko Vispgrädde: 1 dl | Ägg: 1 | Ekologisk citron, finrivet skal: ½ | Finhackad färsk persilja: 1 msk | Nymalen svartpeppar: 1 krm | Baljväxtfärs eller liknande, gärna svenskodlad: 250 g | Blandfärs: 250 g | Salt: 1 tsk | Svenskt Smör från Arla®, till stekning: 2 msk | Pasta, gärna fullkorn: 300 g | Arla Ko® Präst® ost: 100 g | Färsk basilika: ½ kruka","Skala och finhacka löken. Skala och finriv vitlöken., Stek lök och vitlök i smör och olivolja tills allt är mjukt utan att det fått färg., Häll på vinet och låt sjuda tills det nästan kokat in, 3-4 min., Häll på tomaterna, skölj ur burken med lite vatten och tillsätt vattnet. Tillsätt basilikan, gärna hela kvistar och socker. Låt sjuda utan lock i 20-30 min., Ta från värmen och mixa såsen slät. Häll i rapsoljan under mixningen och smaka av med salt och nymalen svartpeppar.",45 min,4,937 kcal,44 g,69 g,51 g
Isterband i ugn med stuvad potatis,"https://images.arla.com/recordid/56FCE886-A2D5-44CC-A68BED2400ED98FD/isterband-i-ugn-med-stuvad-potatis.jpg?width=375&height=265&mode=crop&crop=(136,0,-96,0)&format=jpg",Isterband i ugn med stuvad potatis är en perfekt måltid för den hungrige! Den syrliga smaken från korven gifter sig exemplariskt med den krämiga potatisen. Smaksätt din stuvade potatis med citron och fint skuren gräslök.,"Huvudrätt, Middag","Isterband: 4 | Potatis, fast: 900 g | Svenskt Smör från Arla®: 2 msk | Vetemjöl: 2 msk | Arla Ko® Standardmjölk: 5 dl | Grönsaksbuljong: 1 tärning | Citron, finrivet skal och saft: 1 | Fint skuren färsk gräslök: 4 msk | Salt och svartpeppar:  | Grovkornig dijonsenap:  | Inlagda rödbetor: ","Sätt ugnen på 200° eller 180° varmluft., Skala och koka potatisen mjuk i lättsaltat vatten. Skär potatisen i bitar., Lägg isterbanden i en ugnsform och tillaga mitt i ugnen ca 10 min. Vänd på isterbanden och tillaga i ytterligare 10 min eller tills de fått fin färg., Smält smöret i en kastrull och pudra över mjölet. Låt mjölet brynas något., Vispa i mjölken lite i taget. Smula ner buljongen och sjud stuvningen under omrörning ca 5 min., Tillsätt potatis, citron och gräslök. Smaka av med salt och nymalen svartpeppar., Servera isterband i ugn med stuvad potatis, senap och inlagda rödbetor.",40 min,4,,,,
Krämig biffpanna med paprika och chili,"https://images.arla.com/recordid/0FCB4610-C020-4AFB-9B04DD5671721039/kramig-biffpanna-med-paprika-och-chili.jpg?width=375&height=265&mode=crop&crop=(187,0,-91,0)&format=jpg",En snabblagad favorit med både hetta och krämighet. Servera med ris eller couscous och toppa den gärna med färsk koriander. Gott till både vardag och fest!,Huvudrätt,"Strimlat nötkött t ex högrev, rostbiff eller innanlår: 500 g | Purjolök: 1 | Vitlöksklyftor: 2 | Arla Köket® Lätt crème fraiche paprika & chili: 2 dl | Arla Köket® Smör- & rapsolja:  | Salt och svartpeppar:  | Jasminris: 4 port | Färsk koriander: 1 kruka","Börja med att koka riset., Strimla biff och purjolök. Finhacka vitlök., Hetta upp smör-&rapsolja i en rymlig stekpanna. Stek köttet hastigt i omgångar tills det fått färg. Lägg åt sidan., Stek purjolök och vitlök 2-3 min. Lägg tillbaka köttet i pannan och häll på crème fraiche. Sjud 2 min. Smaka av med salt och peppar., Servera med ris och toppa med färsk koriander.",30 min,4,,,,
"Surdegssmörgås med vitlöks- och örtfärskost, kalkon samt fänkåls- och äppelsallad",https://images.arla.com/recordid/5D68F7C1-21A9-47B1-8C5147957AB2CCC7/surdegssmorgas-med-vitloks--och-ortfarskost-kalkon-samt-fankals--och-appelsallad.jpg?width=375&height=265&mode=crop&format=jpg,Sväng enkelt ihop en matig macka till lunch med krispig fänkålssallad och örtsmakande färskost. Kalkon ger protein och smakar fint för den som äter kött men går bra att hoppa över.,Lunch,Surdegsbröd: 4 skivor | Arla® Färskost Vitlök & Örter: 100 g | Rökt kalkonbröst: 8 skivor | Hackade pumpakärnor: 1 msk | Salt och svartpeppar:  | Gröna äpplen: 2 | Fänkål: 1 | Olivolja: 1 msk,"Rosta brödet och bred på ett lager färskost., Kärna ur äpplena. Skiva äpple och fänkål tunt, gärna på mandolin, och blanda med olja., Lägg kalkonskivorna på smörgåsarna, toppa med salladen och strö över pumpakärnor, salt och peppar.",15 min,4,325 kcal,12 g,39 g,12 g
Jordgubbssmoothie med melon,https://images.arla.com/recordid/F13C29C4-5486-46EA-89B81E2FDCF1FB6C/jordgubbssmoothie-med-melon.jpg?width=375&height=265&mode=crop&format=jpg,Kan man tänka sig något mer läskande än vattenmelon? En perfekt smoothie att kicka igång motivationen med innan träningen!,"Frukost, Mellanmål",Apelsinjuice: 1½ dl | Vattenmelon: 300 g | Frysta jordgubbar: 2 dl,"Skala, kärna ur och skär melonen i bitar., Mixa alla ingredienser till en smoothie och häll upp i glas.",15 min,4,110 kcal,2 g,23 g,0 g
Örtgratinerade grönsaker,https://images.arla.com/recordid/3E9318AB-F17D-4527-845AC62953EE88C6/ortgratinerade-gronsaker.jpg?width=375&height=265&mode=crop&format=jpg,Vegetarisk rätt som gottat till sig i ugnen. Servera gärna grönsakerna med en fräsch och god vitlök- och basilikadressing på färskost.,"Huvudrätt, Lunch, Middag",Kokt mjölig potatis: 600 g | Endiver: 2 | Broccoli: 400 g | Arla Köket® Smör- & rapsolja: 1 dl | Pressade vitlöksklyftor: 2 | Hackad färsk basilika: 1 dl | Flingsalt: 1 tsk | Svarta bönor: 400 g | Arla® Färskost Naturell: 150 g | Pesto: 1½ msk,"Sätt ugnen på 225° eller 200° varmluft., Skär ett kryss i potatisarna och tryck ihop dem från sidorna så de öppnar sig., Dela endiver och broccoli på längden. Lägg allt på en plåt., Blanda smör-&rapsolja, vitlök och basilika och fördela över potatis och grönsaker. Strö över flingsalt., Gratinera i övre delen av ugnen 10–15 min., Spola bönorna i kallt vatten och häll på plåten., Rör samman färskost och pesto, servera grönsakerna med färskosten.",30 min,4,530 kcal,15 g,41 g,31 g
Skink- och äppelpaj,https://images.arla.com/recordid/3115D735-0063-45AD-9E1D2A75DE79E420/skink--och-appelpaj.jpg?width=375&height=265&mode=crop&format=jpg,Skinka och äpple ger fin smakbrytning i den här pajen.,Förrätt,Svenskt Smör från Arla®: 75 g | Vetemjöl: 2½ dl | Arla Köket Kesella® Kvarg: ¾ dl | Äpple: 1 | Rökt skinka: 100 g | Ägg: 3 | Arla Köket® Vispgrädde: 2 dl | Arla Ko® Standardmjölk: 1 dl | Salt: ½ tsk | Svartpeppar: 1 krm | Arla Köket® Riven ost gratäng: 2 dl,"Mixa smör och mjöl i en matberedare till en grynig massa. Tillsätt kvarg och mixa till en slät deg., Tryck ut degen i små folieformar. Låt vila i kylen ca 30 min., Sätt ugnen på 225° eller 200° varmluft., Skala och kärna ur äpplet. Skär äpple och skinka i små tärningar., Vispa ihop ägg, grädde, mjölk, salt, peppar och ost., Fördela äpple och skinka i pajskalen. Häll över äggstanningen. Grädda pajerna i mitten av ugnen ca 15 min.",45 min,4,,,,
Pizzadeg på cottage cheese,https://images.arla.com/recordid/FA4E8D01-0FDD-43BC-87F4844AF583B55E/pizzadeg-pa-cottage-cheese.jpg?width=375&height=265&mode=crop&format=jpg,"Det funkar att göra pizzadeg på cottage cheese! Degen blir mättande och god, inte riktigt lika krispig som en klassisk pizza, men ändå riktigt bra - och lättlagad! Vi toppar denna pizza med sardeller, kapris, avokado, tomat, kapris och citron.","Brunch, Lunch, Middag","KESO® Cottage cheese crushed naturell: 250 | Arla Köket® Riven ost pizza: 1 dl | Vetemjöl: 2½ dl | Bakpulver: 1 tsk | Tomatsås: ½ dl | Arla Köket® Riven ost pizza: 1½ dl | Sardellfiléer: 5 | Rucola eller ärtskott: 65 g | Avokado: 1 | Cocktailtomater: 5 | Kapris: 2 msk | Citron, finrivet skal: 1 | Chili flakes:  | Flingsalt: ","Sätt in en plåt i ugnen och värm den till 225° eller 200° varmluft., Häll cottage cheese och ost i en bunke. Blanda mjöl med bakpulver. Blanda ner i bunken och knåda till en slät deg., Kavla ut degen till en rund pizza på bakplåtspapper., Bred på tomatsås och fördela sardellerna på pizzan. Toppa med osten., Dra över pizzan med bakplåtspappret till den heta plåten. Grädda  mitt i ugnen ca 20 min., Halvera gröp ur och skiva avokadon. Klyfta tomaterna., Toppa nygräddad pizza med rucola, grönsaker, kapris och finrivet citronskal. Strö över chili flakes och salt. Servera direkt",1 tim,4,750 kcal,35 g,67 g,40 g
